GroupID,Order,Speaker,Text,Portrait,SoundEffect,Memo
Enter,1,Player,우와......,,,
Enter,2,Player,내가 상상했던 풍경과는 차원이 달라…,,,
Enter,3,Player,여기만 탈출하면 저기 보이는 모든 행성들에 갈 수 있다는 거지?,,,
Enter,4,Player,우선 메인 콘솔에 접근해보자.,,,
PuzzleLocked,1,System,[시스템 경고 : 보안 규정 위반],,,
PuzzleLocked,2,System,[비이상적인 접근이 감지되었습니다. \n보안이 강화됩니다.],,,
PuzzleLocked,3,System,[비이상적인 접근이 감지되었습니다. \n보안이 강화됩니다.],,,
PuzzleLocked,4,Player,(중앙 통제실에서 외부로 나가는 문이 잠긴 것 같다.),,,
PuzzleLocked,5,Player,침착하자.,,,
PuzzleLocked,6,Player,여기도 분명 쪽지가 있을 거야.,,,
PuzzleClear,1,System,[시스템: 중앙 통제실과 메인 기록실 간의 비상 통로가 개방되었습니다.],,,
PuzzleClear,2,Player,와… 저 행성들을 봐. 너무 아름다워.,,,
PuzzleClear,3,Player,…...,,,
PuzzleClear,4,Player,"아차, 이럴 때가 아니지. \n감시자들이 눈치 채기 전에 움직여야 해.",,,
PuzzleClear,5,Player,저 화면에 떠 있는 행성 이름은 기억해 두는 게 좋겠어.,,,
PuzzleClear,6,Player,여기서 연결된 경로는 메인 기록실 뿐이네. 바로 이동하자.,,,
